epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1481.36,1.76003,5.3226,1.87943,0,0,0,0,0,12.3575,0,0.001208,0.001208,0.001208
22,1547.17,2.00756,5.08551,2.06675,0,0,0,0,0,11.7104,0,0.0011684,0.0011684,0.0011684
23,1612.22,1.67433,5.40965,1.84506,0,0,0,0,0,11.5855,0,0.0011288,0.0011288,0.0011288
24,1677.04,1.98716,4.85218,2.09555,0,0,0,0,0,11.9501,0,0.0010892,0.0010892,0.0010892
25,1742.31,2.02503,4.80675,2.08063,0,0,0,0,0,11.6789,0,0.0010496,0.0010496,0.0010496
26,1807.48,1.90159,4.59013,2.03443,0,0,0,0,0,10.9836,0,0.00101,0.00101,0.00101
27,1871.97,1.56209,4.91834,1.72551,0,0,0,0,0,10.2727,0,0.0009704,0.0009704,0.0009704
28,1936.67,1.8516,4.74715,1.91325,0,0,0,0,0,9.69909,0,0.0009308,0.0009308,0.0009308
29,2001.13,1.45567,4.71826,1.5777,0,0,0,0,0,9.14528,0,0.0008912,0.0008912,0.0008912
30,2066.94,2.02391,4.40125,2.16774,0,0,0,0,0,9.29589,0,0.0008516,0.0008516,0.0008516
31,2132.95,1.99003,4.29386,2.18023,0,0,0,0,0,9.4514,0,0.000812,0.000812,0.000812
32,2198.56,1.85072,4.49528,1.93707,0,0,0,0,0,9.21628,0,0.0007724,0.0007724,0.0007724
33,2263.88,1.33793,4.33821,1.48881,0,0,0,0,0,8.35154,0,0.0007328,0.0007328,0.0007328
34,2329.04,1.55788,4.32734,1.69901,0,0,0,0,0,7.9744,0,0.0006932,0.0006932,0.0006932
35,2394.96,1.63949,4.2634,1.73968,0,0,0,0,0,7.97075,0,0.0006536,0.0006536,0.0006536
36,2461,1.56692,4.08657,1.75715,0,0,0,0,0,7.70426,0,0.000614,0.000614,0.000614
37,2525.79,1.49783,4.18082,1.71096,0,0,0,0,0,7.66738,0,0.0005744,0.0005744,0.0005744
38,2591.07,1.53511,4.12953,1.69235,0,0,0,0,0,7.31452,0,0.0005348,0.0005348,0.0005348
39,2663.37,1.74661,4.13347,1.85998,0,0,0,0,0,7.32323,0,0.0004952,0.0004952,0.0004952
40,2736.76,1.76127,4.1211,1.94801,0,0,0,0,0,7.29683,0,0.0004556,0.0004556,0.0004556
41,2808.6,0.95076,4.1424,1.10503,0,0,0,0,0,7.23223,0,0.000416,0.000416,0.000416
42,2880.09,1.11758,4.10573,1.26842,0,0,0,0,0,7.00684,0,0.0003764,0.0003764,0.0003764
43,2951.43,1.16306,3.93012,1.36871,0,0,0,0,0,6.70501,0,0.0003368,0.0003368,0.0003368
44,3024.58,0.97097,3.92458,1.11907,0,0,0,0,0,6.64675,0,0.0002972,0.0002972,0.0002972
45,3097.8,1.02297,3.86241,1.17632,0,0,0,0,0,6.65945,0,0.0002576,0.0002576,0.0002576
46,3169.47,1.02135,3.87475,1.20643,0,0,0,0,0,6.73701,0,0.000218,0.000218,0.000218
47,3242.57,1.03446,3.79356,1.26009,0,0,0,0,0,6.78913,0,0.0001784,0.0001784,0.0001784
48,3314.26,0.93989,3.75258,1.18609,0,0,0,0,0,6.63482,0,0.0001388,0.0001388,0.0001388
49,3385.47,0.81752,3.75944,1.00839,0,0,0,0,0,6.4355,0,9.92e-05,9.92e-05,9.92e-05
50,3455.13,0.91445,3.72297,1.18118,0,0,0,0,0,6.39101,0,5.96e-05,5.96e-05,5.96e-05
