epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.79036,2.87321,4.56961,2.79097,0,0,0,0,0,24.2824,0,2e-05,2e-05,2e-05
2,8.63386,2.8667,4.05556,2.89762,0,0,0,0,0,24.3112,0,5.8812e-05,5.8812e-05,5.8812e-05
3,12.1852,2.7964,3.58807,2.79173,0,0,0,0,0,24.337,0,9.604e-05,9.604e-05,9.604e-05
4,15.6938,2.94514,3.94653,2.87618,0,0,0,0,0,24.3541,0,0.000131684,0.000131684,0.000131684
5,19.2341,1.86572,5.90173,2.29442,0,0,0,0,0,24.3713,0,0.000165744,0.000165744,0.000165744
6,22.7202,1.89251,3.07711,1.99536,0,0,0,0,0,24.3713,0,0.00019822,0.00019822,0.00019822
7,26.7368,2.57672,3.94952,2.75972,0,0,0,0,0,24.3943,0,0.000229112,0.000229112,0.000229112
8,30.6944,1.78977,3.57699,2.09101,0,0,0,0,0,24.3716,0,0.00025842,0.00025842,0.00025842
9,34.6977,2.11514,5.40503,2.72665,0,0,0,0,0,24.3716,0,0.000286144,0.000286144,0.000286144
10,38.6751,1.67285,3.40077,2.0861,0,0,0,0,0,24.3044,0,0.000312284,0.000312284,0.000312284
11,42.4922,1.6681,3.86973,2.53325,0,0,0,0,0,24.3044,0,0.00033684,0.00033684,0.00033684
12,46.4682,1.60028,6.15117,1.9017,0,0,0,0,0,24.2192,0,0.000359812,0.000359812,0.000359812
13,51.1117,1.76875,3.53746,2.18895,0,0,0,0,0,24.2192,0,0.0003812,0.0003812,0.0003812
14,55.0755,1.77072,3.31191,2.11383,0,0,0,0,0,24.2192,0,0.000401004,0.000401004,0.000401004
15,58.9683,1.68278,3.53337,1.98341,0,0,0,0,0,24.1398,0,0.000419224,0.000419224,0.000419224
16,62.7541,1.83171,3.34101,2.12595,0,0,0,0,0,24.1398,0,0.00043586,0.00043586,0.00043586
17,66.5542,1.86183,4.6142,2.18385,0,0,0,0,0,24.1398,0,0.000450912,0.000450912,0.000450912
18,70.4146,1.87746,3.19388,2.18404,0,0,0,0,0,23.887,0,0.00046438,0.00046438,0.00046438
19,74.3987,1.87539,3.93898,2.15934,0,0,0,0,0,23.887,0,0.000476264,0.000476264,0.000476264
20,78.2236,1.74171,3.64458,1.98812,0,0,0,0,0,23.887,0,0.000486564,0.000486564,0.000486564
21,82.1468,1.78395,4.28176,1.9278,0,0,0,0,0,23.5219,0,0.00049528,0.00049528,0.00049528
22,85.9342,1.53942,2.84181,1.83061,0,0,0,0,0,23.5219,0,0.000502412,0.000502412,0.000502412
23,89.9061,1.80048,3.19686,1.94993,0,0,0,0,0,23.5219,0,0.00050796,0.00050796,0.00050796
24,93.8417,1.78176,3.08668,2.10325,0,0,0,0,0,23.5219,0,0.000511924,0.000511924,0.000511924
25,97.6233,1.49085,3.58522,1.76014,0,0,0,0,0,23.0943,0,0.000514304,0.000514304,0.000514304
